slug,name,aka,description,category,category_color,svg,png,svg_url,png_url,docs,source_url
"databricks","Databricks","","The Databricks logo mark. Use it to label the platform boundary in an architecture diagram.","Platform & Compute","#FF3621","svg/databricks.svg","png/databricks.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks.png","https://www.databricks.com/","https://www.databricks.com/sites/default/files/2026-05/Databricks-Logo-Icon.svg"
"data-intelligence-platform","Data Intelligence Platform","","The unified platform for data engineering, analytics, AI and governance on one lakehouse foundation.","Platform & Compute","#FF3621","svg/data-intelligence-platform.svg","png/data-intelligence-platform.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/data-intelligence-platform.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/data-intelligence-platform.png","https://www.databricks.com/product/data-intelligence-platform","https://www.databricks.com/sites/default/files/2026-01/icon-data-intelligence-platform.svg"
"lakehouse","Lakehouse Architecture","","Open architecture combining data lake economics with warehouse reliability and ACID management.","Platform & Compute","#FF3621","svg/lakehouse.svg","png/lakehouse.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakehouse.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakehouse.png","https://www.databricks.com/product/data-lakehouse","https://www.databricks.com/sites/default/files/2024-06/primary-icon-orange-delta-lakehouse.svg"
"apache-spark","Apache Spark","","Managed, autoscaling Apache Spark for large-scale batch, streaming and ML processing.","Platform & Compute","#FF3621","svg/apache-spark.svg","png/apache-spark.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/apache-spark.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/apache-spark.png","https://www.databricks.com/product/spark","https://www.databricks.com/sites/default/files/2023-01/logo-apache-spark.svg"
"photon","Photon","","A native C++ vectorized query engine. It accelerates SQL and DataFrame work with no code changes.","Platform & Compute","#FF3621","svg/photon.svg","png/photon.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/photon.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/photon.png","https://www.databricks.com/product/photon","https://www.databricks.com/sites/default/files/2023-03/icon-orange-photon.svg"
"compute-clusters","Compute (Clusters)","","All-purpose and job compute resources that run notebooks, pipelines and jobs.","Platform & Compute","#FF3621","svg/compute-clusters.svg","png/compute-clusters.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/compute-clusters.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/compute-clusters.png","https://docs.databricks.com/aws/en/compute/","https://www.databricks.com/sites/default/files/2025-05/clusterIcon.svg"
"serverless-compute","Serverless Compute","","Fully managed, versionless compute that starts in seconds and autoscales without cluster administration.","Platform & Compute","#FF3621","svg/serverless-compute.svg","png/serverless-compute.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/serverless-compute.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/serverless-compute.png","https://www.databricks.com/product/serverless-compute","https://www.databricks.com/sites/default/files/2025-01/primary-icon-orange-scale.svg"
"databricks-runtime","Databricks Runtime","","An optimized runtime image with Spark, Delta and ML libraries. The ML variant adds GPU frameworks and AutoML.","Platform & Compute","#FF3621","svg/databricks-runtime.svg","png/databricks-runtime.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/databricks-runtime.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/databricks-runtime.png","https://www.databricks.com/product/machine-learning-runtime","https://www.databricks.com/sites/default/files/2024-01/primary-icon-orange-runtime.svg"
"spark-real-time-mode","Real-Time Mode for Apache Spark","","Structured Streaming execution mode delivering millisecond latency for time-critical pipelines.","Platform & Compute","#FF3621","svg/spark-real-time-mode.svg","png/spark-real-time-mode.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/spark-real-time-mode.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/spark-real-time-mode.png","https://www.databricks.com/product/data-engineering/spark-real-time-mode","https://www.databricks.com/sites/default/files/2026-05/primary-icon-orange-speed.svg"
"multicloud","Multicloud Deployment","","The same platform and governance model deployed across AWS, Azure and Google Cloud.","Platform & Compute","#FF3621","svg/multicloud.svg","png/multicloud.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/multicloud.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/multicloud.png","https://www.databricks.com/product/data-intelligence-platform","https://www.databricks.com/sites/default/files/2025-05/primary-icon-orange-multicloud.svg"
"lakeflow","Lakeflow","","The unified data engineering suite covering ingestion, declarative transformation and orchestration.","Data Engineering","#2272B4","svg/lakeflow.svg","png/lakeflow.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakeflow.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakeflow.png","https://www.databricks.com/product/data-engineering","https://www.databricks.com/sites/default/files/2026-01/icon-lakeflow.svg"
"lakeflow-connect","Lakeflow Connect","","Managed ingestion with 100+ connectors for SaaS applications, databases and cloud storage.","Data Engineering","#2272B4","svg/lakeflow-connect.svg","png/lakeflow-connect.png","https://oieduardorabelo.github.io/databricks-architecture-icons/svg/lakeflow-connect.svg","https://oieduardorabelo.github.io/databricks-architecture-icons/png/lakeflow-connect.png","https://www.databricks.com/product/data-engineering/lakeflow-connect","https://www.databricks.com/sites/default/files/2023-09/primary-icon-orange-connectors.svg"
